num,zid,pid,stock
240,3cb6842e112eedd1dba9e7ccf06f4e8c,pop8010652731,NotExists
240,3cb6842e112eedd1dba9e7ccf06f4e8c,pop8010652730,NotExists
240,3cb6842e112eedd1dba9e7ccf06f4e8c,pop8010652729,NotExists
240,3cb6842e112eedd1dba9e7ccf06f4e8c,pop8010652728,NotExists
240,3cb6842e112eedd1dba9e7ccf06f4e8c,pop8010627077,NotExists
240,3cb6842e112eedd1dba9e7ccf06f4e8c,pop8010627080,NotExists
240,3cb6842e112eedd1dba9e7ccf06f4e8c,pop8010607410,NotExists
240,3cb6842e112eedd1dba9e7ccf06f4e8c,pop8010607411,NotExists
240,3cb6842e112eedd1dba9e7ccf06f4e8c,1130019249,NotExists
241,1d3ed1d56d78dc95114aa8a39921ff17,pop8009054417,NotExists
241,1d3ed1d56d78dc95114aa8a39921ff17,pop8009054415,NotExists
242,7d8c3b0865a1f929794508ca42d8c06d,pop8009044771,NotExists
242,7d8c3b0865a1f929794508ca42d8c06d,pop8010669045,NotExists
242,7d8c3b0865a1f929794508ca42d8c06d,pop8010712424,NotExists
242,7d8c3b0865a1f929794508ca42d8c06d,pop8010712425,NotExists
242,7d8c3b0865a1f929794508ca42d8c06d,pop8010712424,NotExists
242,7d8c3b0865a1f929794508ca42d8c06d,pop8010669045,NotExists
242,7d8c3b0865a1f929794508ca42d8c06d,pop8004918199,NotExists
242,7d8c3b0865a1f929794508ca42d8c06d,pop8010235301,NotExists
242,7d8c3b0865a1f929794508ca42d8c06d,pop8010310520,NotExists
242,7d8c3b0865a1f929794508ca42d8c06d,pop8010712425,NotExists
242,7d8c3b0865a1f929794508ca42d8c06d,pop8010712424,NotExists
242,7d8c3b0865a1f929794508ca42d8c06d,pop8010712424,NotExists
242,7d8c3b0865a1f929794508ca42d8c06d,pop8010712425,NotExists
242,7d8c3b0865a1f929794508ca42d8c06d,pop8008310082,NotExists
242,7d8c3b0865a1f929794508ca42d8c06d,pop8006362973,NotExists
242,7d8c3b0865a1f929794508ca42d8c06d,pop8008310082,NotExists
242,7d8c3b0865a1f929794508ca42d8c06d,pop8008310082,NotExists
242,7d8c3b0865a1f929794508ca42d8c06d,pop8008310082,NotExists
242,7d8c3b0865a1f929794508ca42d8c06d,pop8008310082,NotExists
242,7d8c3b0865a1f929794508ca42d8c06d,pop8010669045,NotExists
